岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Sketch、交互设计、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,本科,6878,11258
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Python、机器学习、算法等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,博士,13532,22835
机器学习工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Python、模型调优、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,硕士,13906,22600
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、数据结构、算法等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,硕士,8835,16739
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉招聘、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,本科,5000,8300
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉测试、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,硕士,8874,15592
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉财务报表、Excel、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,硕士,9434,15658
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉用户研究、产品设计、Axure等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,大专,15800,25093
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉用户体验、交互设计、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,博士,11767,19831
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉绩效考核、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,大专,5377,9249
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Linux、K8s、监控等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,大专,7815,13344
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉深度学习、PyTorch、Python等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,大专,10006,17513
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Sketch、Figma、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,博士,15077,24753
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉预算编制、Excel、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,硕士,10561,16572
UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉UI设计、用户体验、Figma等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,11132,18216
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、UI设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,大专,5525,8930
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Tableau、Python、SQL等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,博士,21500,35180
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉客户沟通、技术支持、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,博士,19607,37578
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉文档编写、技术支持、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,博士,23644,40118
数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉Python、深度学习、TensorFlow等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,博士,44454,67264
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉市场营销、渠道拓展、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,本科,17203,29683
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Redis、MySQL、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,博士,22530,38428
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Python、Redis、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,本科,9005,14989
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉PyTorch、机器学习、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,博士,22277,39168
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉技术支持、客户沟通、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,本科,16654,26485
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉财务报表、财务分析、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,本科,9753,15385
Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Django、FastAPI、Flask等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,硕士,14615,23309
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉机器学习、深度学习、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,本科,21201,36021
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉客户沟通、文档编写、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,大专,6571,10401
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉交互设计、Sketch、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,本科,14486,22494
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉交互设计、Figma、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,硕士,11989,18796
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉算法、数据结构、Python等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,硕士,13457,22942
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉TypeScript、HTML、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,大专,6692,11730
人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉招聘、培训、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,硕士,7962,12538
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Node.js、JavaScript、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,7623,13063
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉交互设计、Figma、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,博士,13603,24742
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉运营、数据分析、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,大专,5841,10417
运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉K8s、Linux、Docker等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,博士,10498,18331
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉深度学习、PyTorch、TensorFlow等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,本科,20012,32156
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉渠道拓展、活动策划、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,博士,26052,45146
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉用户体验、UI设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,大专,6824,10408
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉进度控制、风险控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,博士,11858,23608
人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉招聘、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,大专,5197,8597
UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Sketch、交互设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,博士,15601,28050
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉特征工程、机器学习、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,18879,31321
Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Redis、Django、Flask等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,大专,8450,14676
数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉PyTorch、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,本科,16039,25639
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉React、JavaScript、CSS等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,博士,16594,30274
架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉系统架构、微服务、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,博士,25673,41570
UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉用户体验、Sketch、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,硕士,16777,25768
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉用户增长、活动策划、运营等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,硕士,10928,17688
架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉技术选型、微服务、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,硕士,9215,16037
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉监控、K8s、Linux等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,大专,6855,11476
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉机器学习、数据结构、算法等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,硕士,9820,17724
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Tableau、统计学、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,大专,11613,17809
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉问题排查、文档编写、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,硕士,14643,23338
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉团队协调、项目管理、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,本科,11784,19262
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉TensorFlow、PyTorch、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,本科,23616,40116
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉React、Vue、TypeScript等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,博士,16354,27690
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、文档编写、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,本科,24006,45201
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉员工关系、绩效考核、招聘等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,博士,13251,21459
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉客户关系、业绩目标、销售等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,硕士,8773,14784
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉SpringBoot、Spring、Redis等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,本科,6228,12308
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉技术支持、文档编写、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,本科,9005,16787
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉TypeScript、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,大专,7783,13671
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉运营、用户增长、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,大专,5000,7000
全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉React、MySQL、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,博士,16335,30563
Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Dubbo、MySQL、SpringBoot等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,博士,18414,31133
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉深度学习、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,硕士,21332,34374
运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉运维、K8s、Linux等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,硕士,13225,23105
财务分析师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉预算编制、Excel、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,硕士,9903,16409
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉销售、客户关系、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,本科,10259,16787
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉机器学习、算法、Python等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,博士,13202,21036
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Excel、财务分析、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,苏州,150-500人,博士,16763,27362
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉数据结构、Python、算法等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,硕士,13263,23788
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉TypeScript、JavaScript、HTML等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,博士,12844,21599
Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Dubbo、Spring、Java等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,博士,13590,23981
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉测试、性能测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,6604,11500
Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Redis、MySQL、Spring等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,大专,9687,16087
机器学习工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉机器学习、模型调优、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,本科,5000,8997
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉用户研究、数据分析、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,大专,10215,16513
UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Figma、Sketch、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,博士,17653,28297
Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Python、MySQL、Redis等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,博士,14472,25624
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉缺陷管理、性能测试、测试等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,硕士,7684,13342
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉深度学习、PyTorch、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,硕士,84054,137406
机器学习工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Python、机器学习、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,大专,5257,10261
架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉微服务、技术选型、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,大专,6339,10169
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉文档编写、技术支持、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,7522,12962
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,硕士,13404,22598
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉品牌建设、渠道拓展、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,硕士,18950,31149
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉机器学习、TensorFlow、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,大专,20210,34955
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉深度学习、TensorFlow、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,15097,24073
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉数据分析、产品设计、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,博士,15567,27317
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉员工关系、培训、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,硕士,7421,11867
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉文档编写、技术支持、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,本科,6528,13216
Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉SpringBoot、Java、Redis等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,博士,20626,35832
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉预算编制、财务分析、Excel等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,博士,12490,20520
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉问题排查、技术支持、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,大专,7872,13279
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、模型调优、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,博士,12810,21565
架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉性能优化、系统架构、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,硕士,14263,25745
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉算法、Python、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,大专,6753,12193
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉PyTorch、TensorFlow、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,硕士,25861,42436
Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Redis、Flask、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,硕士,9057,16561
测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉测试、自动化测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,7338,12125
运营专员,分析运营数据，优化运营策略和流程。要求熟悉活动策划、数据分析、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,硕士,5358,9115
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉财务报表、财务分析、Excel等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,博士,10927,21318
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉渠道拓展、市场营销、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,博士,23808,42055
数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉统计学、Python、SQL等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,大专,7237,12193
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Excel、Tableau、Python等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,博士,15175,26580
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉培训、招聘、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,大专,5210,9370
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉招聘、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,大专,5892,9764
财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉预算编制、Excel、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,大专,9900,14904
项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉项目管理、风险控制、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,大专,13389,22728
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Excel、统计学、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,硕士,20180,33159
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉销售、商务谈判、业绩目标等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,硕士,12297,20716
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉培训、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,博士,11203,19159
测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,硕士,11909,21477
运营专员,分析运营数据，优化运营策略和流程。要求熟悉数据分析、活动策划、运营等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,硕士,6969,12460
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉监控、K8s、Linux等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,大专,5829,11400
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉商务谈判、客户关系、业绩目标等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,硕士,9775,17284
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Python、TensorFlow、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,硕士,37820,61220
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉测试、缺陷管理、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,博士,20320,35296
全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉JavaScript、MySQL、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,硕士,8713,15432
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉运营、用户增长、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,博士,7352,12961
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉销售、客户关系、业绩目标等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,15857,26507
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉FastAPI、Redis、Python等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,本科,25410,47940
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉活动策划、渠道拓展、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,硕士,13710,22726
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉销售、业绩目标、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,硕士,11728,21608
项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉项目管理、团队协调、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,博士,19189,34741
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉Axure、用户研究、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,本科,9292,17740
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Dubbo、Redis、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,大专,6493,11561
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉财务报表、预算编制、Excel等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,博士,19270,29407
全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉MongoDB、MySQL、React等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,本科,8500,14276
架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉微服务、系统架构、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,大专,7197,11815
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉深度学习、Python、算法等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,博士,16424,27576
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Python、MySQL、Flask等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,本科,5083,9435
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉预算编制、Excel、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,本科,8052,13038
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉特征工程、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,本科,5976,10840
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉机器学习、TensorFlow、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,硕士,26194,40273
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉培训、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,本科,5566,9982
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉数据结构、算法、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,8628,14222
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Python、算法、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,大专,6001,9893
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Excel、预算编制、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,11677,17271
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Python、特征工程、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,大专,8408,14884
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉渠道拓展、市场营销、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,硕士,14402,23949
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Spring、Redis、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,博士,17030,26476
全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉React、MongoDB、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,博士,16029,28758
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Tableau、统计学、Excel等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,本科,11895,20695
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉交互设计、UI设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,大专,5805,10486
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉招聘、员工关系、培训等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,大专,6649,10697
Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Redis、SpringBoot、Spring等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,大专,6330,12526
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉技术支持、客户沟通、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,本科,7935,14015
